Series Name,Series Code,Country Name,Country Code,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
"Population, total",SP.POP.TOTL,Afghanistan,AFG,41128771,40099462,38972230,37769499,36686784,35643418,34636207,33753499,32716210,31541209,30466479,29249157,28189672,27385307,26427199,25903301,25442944,24411191,23553551,22645130,21000256,19688632
"Population, total",SP.POP.TOTL,Albania,ALB,2775634,2811666,2837849,2854191,2866376,2873457,2876101,2880703,2889104,2895092,2900401,2905195,2913021,2927519,2947314,2970017,2992547,3011487,3026939,3039616,3051010,3060173
"Population, total",SP.POP.TOTL,Algeria,DZA,44903225,44177969,43451666,42705368,41927007,41136546,40339329,39543154,38760168,38000626,37260563,36543541,35856344,35196037,34569592,33983827,33435080,32956690,32510186,32055883,31624696,31200985
"Population, total",SP.POP.TOTL,American Samoa,ASM,44273,45035,46189,47321,48424,49463,50448,51368,52217,52995,53691,54310,54849,55366,55891,56383,56837,57254,57626,57941,58177,58324
"Population, total",SP.POP.TOTL,Andorra,AND,79824,79034,77700,76343,75013,73837,72540,71746,71621,71367,71013,70567,71519,73852,76055,78168,80221,79826,76933,73907,70849,67820
"Population, total",SP.POP.TOTL,Angola,AGO,35588987,34503774,33428486,32353588,31273533,30208628,29154746,28127721,27128337,26147002,25188292,24259111,23364185,22507674,21691522,20909684,20162340,19450959,18771125,18124342,17516139,16941587
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,93763,93219,92664,92117,91626,91119,90564,89941,89236,88497,87674,86729,85695,84534,83251,82016,80895,79869,78941,78075,77195,76215
"Population, total",SP.POP.TOTL,Argentina,ARG,46234830,45808747,45376763,44938712,44494502,44044811,43590368,43131966,42669500,42202935,41733271,41261490,40788453,40684338,40273769,39876111,39476851,39070501,38668796,38278164,37885028,37480493
"Population, total",SP.POP.TOTL,Armenia,ARM,2780469,2790974,2805608,2820602,2836557,2851923,2865835,2878595,2889930,2901385,2914421,2928976,2946293,2964296,2983421,3004393,3026486,3047246,3065745,3084102,3105037,3133133
"Population, total",SP.POP.TOTL,Aruba,ABW,106445,106537,106585,106442,105962,105439,104874,104257,103594,102880,102112,101288,100341,99212,97996,96787,95606,94483,93540,92701,91781,90691
"Population, total",SP.POP.TOTL,Australia,AUS,25978935,25688079,25655289,25340217,24966643,24594202,24190907,23815995,23475686,23128129,22733465,22340024,22031750,21691653,21249199,20827622,20450966,20176844,19932722,19720737,19495210,19274701
"Population, total",SP.POP.TOTL,Austria,AUT,9042528,8955797,8916864,8879920,8840521,8797566,8736668,8642699,8546356,8479823,8429991,8391643,8363404,8343323,8321496,8295487,8268641,8227829,8171966,8121423,8081957,8042293
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10175016,10137750,10093121,10024283,9939771,9854033,9757812,9649341,9535079,9416801,9295784,9173082,9054332,8947243,8763400,8581300,8484550,8391850,8306500,8234100,8171950,8111200
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,409984,407906,406471,404557,401906,399020,395976,392697,389131,385650,382061,377950,373272,368057,362795,357666,352664,347804,343089,338490,334002,329626
"Population, total",SP.POP.TOTL,Bahrain,BHR,1472233,1463265,1477469,1494188,1487340,1456834,1409661,1362142,1311134,1261673,1224939,1212077,1213645,1179453,1110343,1040532,970981,901921,833451,778256,748324,730257
"Population, total",SP.POP.TOTL,Bangladesh,BGD,171186372,169356251,167420951,165516222,163683958,161793964,159784568,157830000,155961299,154030139,152090649,150211005,148391139,146706810,145421318,144135934,142628831,140912590,138789725,136503206,134139826,131670484
"Population, total",SP.POP.TOTL,Barbados,BRB,281635,281200,280693,280180,279688,279187,278649,278083,277493,276865,276197,275486,274711,273791,272635,271444,270425,269477,268505,267499,266455,265377
"Population, total",SP.POP.TOTL,Belarus,BLR,9208701,9302585,9379952,9419758,9438785,9458989,9469379,9461076,9448515,9443211,9446836,9461643,9483836,9504583,9527985,9560953,9604924,9663915,9730146,9796749,9865548,9928549
"Population, total",SP.POP.TOTL,Belgium,BEL,11669446,11592952,11538604,11488980,11427054,11375158,11331422,11274196,11209057,11159407,11106932,11038264,10895586,10796493,10709973,10625700,10547958,10478617,10421137,10376133,10332785,10286570
